Customer ID,Loan Amount,Annual Income,Credit Score,Employment Status,Marital Status,Loan Term (months),Number of Dependents,Previous Defaults,Loan Type,Payment History,Loan Default
2001,81280,45525,407,Unemployed,Divorced,12,1,2,Personal Loan,Good,Yes
2002,40773,99818,636,Employed,Single,34,4,2,Personal Loan,Average,No
2002,40773,99818,636,Employed,Single,34,4,2,Personal Loan,Average,No
2003,15487,134589,787,Self-employed,Widowed,295,0,0,Personal Loan,Average,No
2004,89748,34334,360,Unemployed,Divorced,199,1,0,Student Loan,Average,Yes
2005,30183,114715,701,Unemployed,Single,29,3,1,Credit Card,Average,No
2006,53651,82767,566,Employed,Single,60,1,1,Personal Loan,Poor,No
2007,95106,26644,327,Unemployed,Married,58,3,0,Credit Card,Good,Yes
2008,25581,121154,731,Retired,Divorced,126,2,0,Mortgage,Poor,No
2008,25581,121154,731,Retired,Divorced,126,2,0,Mortgage,Poor,No
2009,16174,133237,780,Employed,Widowed,50,0,1,Mortgage,Average,No
2010,75587,52933,441,Unemployed,Married,228,0,0,Student Loan,Average,Yes
2011,7103,146366,838,Unemployed,Divorced,221,3,2,Credit Card,Good,No
2012,67768,63469,486,Employed,Divorced,273,4,2,Auto Loan,Average,No
2013,75093,53687,445,Unemployed,Widowed,222,4,2,Student Loan,Poor,Yes
2014,21566,126609,756,Unemployed,Married,64,2,1,Personal Loan,Poor,No
2015,60609,72656,527,Employed,Married,292,3,0,Mortgage,Average,No
2016,87289,37375,373,Unemployed,Widowed,332,2,1,Mortgage,Average,Yes
2017,15749,134019,784,Retired,Married,144,3,1,Auto Loan,Average,No
2018,10951,140735,815,Self-employed,Single,275,2,0,Student Loan,Average,No
2019,51959,85206,574,Employed,Widowed,306,3,1,Credit Card,Poor,No
NaN,28816,116462,710,Unemployed,Divorced,122,0,2,Mortgage,Good,No
2021,72649,56607,458,Unemployed,Widowed,54,2,0,Personal Loan,Poor,Yes
2022,38365,103178,652,Employed,Single,349,2,2,Auto Loan,Average,No
2023,82258,43993,402,Unemployed,Widowed,249,3,2,Auto Loan,Poor,Yes
2024,67003,64386,491,Employed,Divorced,258,1,0,Auto Loan,Good,No
2025,9358,143394,825,Self-employed,Divorced,15,1,2,Personal Loan,Average,No
2026,65603,66287,500,Employed,Widowed,323,0,2,Auto Loan,Average,No
2027,35254,106724,670,Unemployed,Widowed,184,4,2,Credit Card,Good,No
2028,28091,118132,716,Self-employed,Single,204,4,0,Credit Card,Poor,No
2029,31092,113308,695,Employed,Single,14,0,0,Student Loan,Good,No
2030,28897,116393,710,Self-employed,Divorced,289,4,0,Student Loan,Good,No
2031,6542,147314,841,Retired,Married,67,3,1,Credit Card,Average,No
2032,43304,96312,622,Employed,Married,285,1,2,Personal Loan,Poor,No
2033,27852,118371,717,Self-employed,Married,187,0,1,Student Loan,Poor,No
2034,44062,95324,618,Employed,Married,127,3,1,Auto Loan,Good,No
2035,47642,91196,601,Employed,Divorced,95,0,2,Credit Card,Average,No
2036,48541,90014,594,Employed,Married,170,1,0,Mortgage,Average,No
2037,94160,28210,333,Unemployed,Married,297,4,1,Personal Loan,Average,Yes
2038,92272,30922,345,Unemployed,Widowed,91,3,0,Personal Loan,Good,No
2039,72889,56289,457,Unemployed,Married,77,1,0,Credit Card,Poor,Yes
2040,5338,149097,848,Unemployed,Widowed,220,0,2,Mortgage,Poor,No
2041,75313,53340,444,Unemployed,Divorced,21,2,1,Personal Loan,Average,Yes
2042,70428,59850,471,Unemployed,Widowed,210,3,1,Student Loan,Average,Yes
2043,57853,76984,542,Employed,Single,70,0,0,Mortgage,Poor,No
2044,23990,123699,742,Unemployed,Widowed,245,0,2,Auto Loan,Poor,No
2045,16046,133711,782,Unemployed,Married,318,1,1,Student Loan,Poor,No
2046,37556,104178,656,Unemployed,Widowed,255,0,0,Mortgage,Good,No
2047,92178,31094,346,Unemployed,Widowed,65,3,0,Credit Card,Poor,Yes
2048,34373,107959,674,Employed,Divorced,348,3,0,Personal Loan,Good,No
2049,75271,53418,444,Unemployed,Divorced,20,0,2,Student Loan,Poor,Yes
2050,95825,25741,324,Unemployed,Married,112,1,2,Credit Card,Good,No
2051,17602,131585,773,Retired,Single,306,3,0,Mortgage,Average,No
2052,46688,92374,606,Employed,Single,214,2,0,Auto Loan,Poor,No
2053,13179,137275,800,Self-employed,Widowed,164,4,2,Personal Loan,Good,No
2054,9895,142564,822,Employed,Single,121,1,0,Personal Loan,Poor,No
2055,49425,88798,589,Employed,Divorced,333,1,0,Student Loan,Poor,No
2056,14168,136026,795,Retired,Married,277,4,2,Credit Card,Good,No
2057,48016,90532,596,Employed,Married,163,4,0,Mortgage,Average,No
2058,18689,130130,768,Retired,Divorced,94,3,0,Mortgage,Average,No
2059,83645,42164,392,Unemployed,Married,145,0,0,Credit Card,Poor,Yes
2060,73487,55595,454,Unemployed,Widowed,337,0,2,Personal Loan,Average,Yes
2061,77592,50257,430,Unemployed,Married,171,2,2,Credit Card,Average,Yes
2062,89878,34211,359,Unemployed,Single,50,0,2,Mortgage,Poor,Yes
2063,29170,115989,708,Self-employed,Married,187,2,1,Credit Card,Average,No
2064,96302,25232,322,Unemployed,Married,24,2,1,Personal Loan,Poor,Yes
2065,50084,87753,585,Employed,Divorced,326,1,1,Student Loan,Average,No
2066,60568,72691,527,Employed,Divorced,78,1,1,Personal Loan,Average,No
2067,33228,109765,680,Retired,Single,259,3,2,Auto Loan,Average,No
2068,40851,99768,636,Employed,Divorced,52,4,0,Auto Loan,Good,No
2069,81256,45613,407,Unemployed,Single,195,4,2,Credit Card,Average,Yes
2070,90067,34026,358,Unemployed,Widowed,46,2,1,Personal Loan,Poor,Yes
2071,60249,73535,529,Employed,Single,348,4,2,Personal Loan,Average,No
2072,30599,114090,698,Self-employed,Married,301,2,0,Mortgage,Average,No
2073,77101,50908,432,Unemployed,Single,87,4,1,Student Loan,Poor,Yes
2074,60778,72113,525,Employed,Widowed,81,3,0,Personal Loan,Good,No
2075,85769,39610,380,Unemployed,Married,245,1,0,Credit Card,Good,No
2076,65315,66646,502,Employed,Single,22,1,0,Mortgage,Poor,No
2077,22772,125141,748,Self-employed,Divorced,294,2,1,Mortgage,Average,No
2078,53368,83185,568,Employed,Divorced,315,4,2,Credit Card,Average,No
