age,department,job_level,monthly_income,years_at_company,work_life_balance,job_involvement,satisfaction_class
53,HR,3,7431,1,3,3,1
39,Finance,1,4525,23,2,2,0
32,Sales,1,10043,10,2,2,0
45,Marketing,3,4278,21,4,3,1
43,Engineering,2,11705,1,1,2,0
47,Marketing,4,9125,6,2,2,0
35,Marketing,4,10874,7,4,4,1
35,Sales,3,9900,17,4,1,1
48,Finance,2,5500,9,2,2,0
48,HR,1,6464,7,2,1,0
27,Marketing,5,5259,17,3,2,0
46,Finance,5,10496,3,1,3,0
26,HR,3,5659,16,3,2,0
48,Marketing,2,3255,5,3,2,0
54,HR,2,4502,20,4,1,0
26,Finance,4,7656,18,4,3,1
45,Engineering,1,8430,1,1,4,1
57,Finance,2,11598,4,3,1,0
36,Sales,5,6176,23,3,3,1
46,HR,1,4860,11,4,3,1
49,Engineering,1,9158,20,4,1,0
51,HR,3,8806,9,2,2,0
52,HR,2,7354,8,3,3,1
40,Marketing,3,3722,8,1,4,0
39,Sales,2,10579,5,3,2,1
27,HR,4,3613,12,4,1,0
31,Finance,3,6331,1,2,1,0
45,Finance,3,8790,15,3,1,0
33,Marketing,5,6116,25,1,1,0
42,Sales,3,3330,18,4,4,1
28,Sales,2,5212,6,2,4,1
49,Finance,5,8493,10,3,3,1
38,Engineering,3,10232,14,1,4,1
33,Marketing,3,8614,21,4,1,0
50,Marketing,4,8913,26,1,4,1
26,Finance,3,8913,29,3,2,0
44,Finance,1,8611,8,4,2,1
52,Engineering,5,3319,27,3,3,1
31,Engineering,1,11085,3,2,1,0
32,Sales,5,7200,22,3,4,1
59,Marketing,4,7791,22,2,3,0
38,Marketing,3,3329,26,3,3,1
41,Finance,3,11851,19,1,4,1
28,Sales,3,9742,12,1,3,0
26,Marketing,5,7916,12,4,1,1
30,Sales,3,4793,15,1,4,0
28,Sales,1,9457,28,1,2,0
53,Finance,3,11125,7,2,2,0
42,Sales,4,8703,27,1,4,1
50,Engineering,1,9170,4,2,3,1
58,Engineering,3,9644,21,2,3,1
34,HR,3,10420,9,2,2,0
38,Finance,2,7155,22,3,2,0
55,HR,5,11411,16,2,1,0
39,Engineering,1,5611,26,3,3,1
32,HR,2,8691,13,2,1,0
38,Finance,4,5593,4,3,2,1
47,Finance,5,3095,24,4,2,1
45,Sales,1,9041,9,4,2,1
40,Marketing,3,8063,26,3,2,0
42,Sales,1,11437,21,4,1,1
48,Finance,3,6349,18,1,2,0
50,Engineering,5,10644,15,2,4,1
49,Engineering,3,9560,15,3,3,1
53,Sales,4,8247,6,4,2,1
39,Finance,3,8356,11,4,3,1
25,Engineering,4,7077,28,1,2,0
49,Finance,5,7898,8,2,1,0
31,Engineering,5,4417,29,1,3,0
33,Finance,1,11846,21,3,1,0
48,HR,4,3110,17,4,2,1
25,Finance,4,11281,24,4,4,1
32,Finance,2,11954,25,4,4,1
48,Sales,2,10391,17,1,4,1
35,HR,2,8132,24,1,4,0
41,Marketing,3,5504,26,2,4,1
32,Sales,2,11289,28,3,1,0
59,Marketing,4,8239,18,2,4,1
59,Engineering,3,3292,4,2,2,0
57,Marketing,5,4734,29,4,1,0
29,Finance,1,8120,15,1,1,0
52,Marketing,2,9393,2,3,4,1
31,Sales,5,5196,2,2,3,1
33,Sales,4,6466,10,3,2,1
32,Marketing,1,4906,3,4,1,0
36,Sales,5,4721,8,2,2,0
58,Sales,1,4816,20,1,3,0
57,Marketing,2,11444,7,2,1,0
47,HR,4,7227,12,4,2,1
48,HR,1,8775,26,2,4,1
59,Engineering,5,6849,19,4,1,1
46,Sales,2,8228,26,2,1,0
51,Marketing,2,9849,28,3,1,0
59,Sales,5,4058,15,1,1,0
25,Finance,5,5322,14,4,4,1
59,Sales,1,11378,16,3,3,1
38,Sales,3,3948,29,4,3,1
27,HR,2,11179,27,2,2,0
25,Marketing,1,7359,14,4,4,1
29,Sales,5,8660,3,4,4,1
50,HR,1,10254,18,1,2,0
38,Engineering,5,11401,29,3,4,1
51,HR,4,5093,28,2,4,1
33,HR,5,4563,22,1,1,0
39,HR,5,11217,6,4,1,1
39,Sales,5,3174,17,1,1,0
50,Sales,3,4334,23,4,4,1
37,Engineering,5,3321,28,2,4,1
56,Finance,2,8698,14,4,3,1
56,Finance,2,8604,14,1,1,0
28,Finance,1,9742,20,1,2,0
54,Engineering,3,10436,13,4,4,1
47,Finance,1,11524,27,3,1,0
39,Finance,2,8674,28,1,3,0
53,HR,2,8002,3,3,1,0
37,Sales,4,3910,13,3,3,1
56,Sales,5,3949,29,3,3,1
31,HR,2,8425,24,3,4,1
46,HR,1,5514,2,1,3,0
52,HR,1,10701,9,1,3,0
26,Sales,5,3100,13,3,2,0
30,Finance,5,7646,8,1,3,0
52,HR,4,9945,16,3,2,1
52,Engineering,3,5400,24,3,2,0
44,HR,1,8801,29,3,1,0
54,Marketing,5,5343,3,4,1,1
35,HR,1,3352,13,2,4,1
52,Sales,5,5955,4,1,4,1
49,HR,2,4018,18,1,4,0
57,Marketing,1,4179,2,3,3,1
25,Engineering,2,8193,20,4,1,0
51,Finance,1,6536,22,4,3,1
37,HR,3,5502,21,1,1,0
27,Marketing,4,6819,15,3,3,1
30,Marketing,2,9855,17,1,4,1
32,Engineering,5,3979,29,3,1,0
51,Sales,3,3976,10,3,1,0
33,HR,1,5280,1,2,2,0
57,Marketing,2,8897,6,3,1,0
48,Engineering,1,3107,3,2,1,0
39,Finance,1,4626,19,1,3,0
56,Marketing,1,11895,7,1,4,1
56,Engineering,4,9229,13,4,2,1
48,Sales,4,9877,13,2,3,1
36,Sales,5,3874,17,1,1,0
26,Marketing,2,8543,1,2,3,1
27,Marketing,3,6809,14,1,4,0
41,HR,3,5107,29,2,2,0
26,Engineering,3,3559,26,2,3,0
26,Marketing,1,11308,3,3,1,0
52,HR,4,7969,14,1,3,0
47,HR,2,6046,24,4,1,0
56,Marketing,1,3043,1,3,2,0
57,Sales,4,3508,16,4,2,1
25,Engineering,4,9107,10,2,3,1
43,Engineering,2,6439,13,3,2,0
26,Sales,2,6928,4,2,4,1
50,Marketing,2,8411,9,1,3,0
56,Engineering,1,3916,14,1,1,0
30,Marketing,5,3798,4,4,3,1
56,Marketing,2,7971,10,1,1,0
28,HR,5,4760,8,4,2,1
35,Sales,1,6275,23,2,1,0
41,Marketing,5,3818,3,3,1,0
48,Finance,3,8040,23,1,1,0
29,Sales,5,6065,7,2,1,0
58,Engineering,2,6259,10,3,4,1
30,HR,1,3906,3,2,1,0
46,Engineering,2,3602,2,4,3,1
35,Engineering,3,7295,15,2,4,1
40,Sales,2,6527,9,4,1,0
57,Engineering,2,7543,15,4,1,0
33,Marketing,2,4811,17,1,1,0
30,Engineering,4,10963,7,4,4,1
40,HR,3,8249,20,4,1,0
53,HR,2,7615,18,2,1,0
27,Finance,2,11916,15,4,1,1
44,HR,2,9766,18,4,2,1
